,node_a,node_b,dist,audi
345,3672.0,7059.0,0.0,2.0
346,3813.0,32428.0,0.0,2.0
347,14355.0,37930.0,0.0,4.0
348,15602.0,37933.0,0.0,3.0
349,4320.0,10831.0,0.0,2.0
350,4395.0,23229.0,0.0,2.0
351,5164.0,5372.0,0.0,2.0
352,10115.0,37940.0,0.0,3.0
353,28790.0,37931.0,0.0,3.0
354,18449.0,37927.0,0.0,3.0
355,18388.0,27904.0,0.0,2.0
356,2561.0,5288.0,0.0,2.0
357,3346.0,4816.0,0.0,2.0
358,19859.0,32114.0,0.0,2.0
359,239.0,11642.0,0.0,2.0
360,600.0,7251.0,0.0,2.0
361,635.0,3589.0,0.0,2.0
362,750.0,3850.0,0.0,2.0
363,1216.0,2815.0,0.0,2.0
364,1762.0,9261.0,0.0,2.0
365,1821.0,2001.0,0.0,2.0
366,1988.0,5840.0,0.0,2.0
367,11944.0,37954.0,0.0,3.0
368,2533.0,12442.0,0.0,2.0
369,2613.0,2757.0,0.0,2.0
370,6484.0,37958.0,0.0,3.0
371,9059.0,37952.0,0.0,3.0
372,3072.0,4495.0,0.0,2.0
373,7925.0,37663.0,0.0,3.0
374,3956.0,37950.0,0.0,3.0
375,9828.0,37951.0,0.0,3.0
376,3949.0,10213.0,0.0,2.0
377,7755.0,37963.0,0.0,4.0
378,8049.0,37961.0,0.0,3.0
379,4791.0,6165.0,0.0,2.0
380,4904.0,22762.0,0.0,2.0
381,5455.0,11345.0,0.0,2.0
382,9995.0,37955.0,0.0,3.0
383,7666.0,37968.0,0.0,3.0
384,8214.0,8909.0,0.0,2.0
385,22751.0,23007.0,0.0,2.0
386,28490.0,37974.0,0.0,3.0
387,24182.0,30029.0,0.0,2.0
388,31474.0,37897.0,0.0,3.0
389,26562.0,27289.0,0.0,2.0
390,35466.0,37976.0,0.0,3.0
391,566.0,3981.0,0.0,2.0
392,3792.0,29360.0,0.0,2.0
393,14184.0,37980.0,0.0,3.0
394,12532.0,37949.0,0.0,3.0
395,10190.0,20608.0,0.0,2.0
396,11988.0,12007.0,0.0,2.0
397,27707.0,37985.0,0.0,3.0
398,18879.0,37983.0,0.0,4.0
399,22756.0,37982.0,0.0,4.0
400,15226.0,21086.0,0.0,2.0
401,17627.0,20533.0,0.0,2.0
402,20552.0,37987.0,0.0,5.0
403,1107.0,17293.0,0.0,2.0
404,3580.0,5218.0,0.0,2.0
405,24307.0,37993.0,0.0,3.0
406,11527.0,37970.0,0.0,3.0
407,12492.0,37995.0,0.0,4.0
408,384.0,9363.0,0.0,2.0
409,26509.0,37945.0,0.0,3.0
410,7466.0,8233.0,0.0,2.0
411,22884.0,37822.0,0.0,3.0
412,7812.0,34231.0,0.0,2.0
413,8813.0,23426.0,0.0,2.0
414,11017.0,17826.0,0.0,2.0
415,1785.0,4221.0,0.0,2.0
416,2517.0,11031.0,0.0,2.0
417,14790.0,38004.0,0.0,3.0
418,5023.0,15639.0,0.0,2.0
419,6145.0,35294.0,0.0,2.0
420,8008.0,16187.0,0.0,2.0
421,21210.0,38005.0,0.0,3.0
422,13931.0,22203.0,0.0,2.0
423,22982.0,38006.0,0.0,4.0
424,23120.0,27494.0,0.0,2.0
425,1627.0,12371.0,0.0,2.0
426,338.0,2011.0,0.0,2.0
427,26331.0,28355.0,0.0,2.0
428,27605.0,34059.0,0.0,2.0
429,732.0,2839.0,0.0,2.0
